Gene	Class
AT2G18690	1
AT2G26440	1
AT3G25830	1
AT5G25440	1
AT1G10140	1
AT3G60420	1
AT1G28190	1
AT3G09490	1
AT1G77450	1
AT4G23600	1
AT1G05575	1
AT1G14780	1
AT3G28220	1
AT4G22980	1
AT4G23210	1
AT3G61190	1
AT5G09530	1
AT5G18310	1
AT1G07390	1
AT1G62790	1
AT2G16595	1
AT5G24770	1
AT1G72060	1
AT2G33380	1
AT1G67800	1
AT2G02000	1
AT2G39330	1
AT2G34600	1
AT5G59320	1
AT3G14620	1
AT3G47480	1
AT4G29700	1
AT5G15960	1
AT3G12270	1
AT3G28500	1
AT5G47600	1
AT2G32190	1
AT4G17470	1
AT1G28480	1
AT2G36080	1
AT1G26560	1
AT3G18250	1
AT4G37790	1
AT5G66400	1
AT4G29740	1
AT3G55980	1
AT2G01610	1
AT2G28190	1
AT1G04220	1
AT2G38870	1
AT5G43180	1
AT1G22440	1
AT3G63380	1
AT2G24100	1
AT5G54740	1
AT5G09440	1
AT1G11580	1
AT5G10760	1
AT1G66280	1
AT2G26530	1
AT5G13200	1
AT5G55170	1
AT1G01640	1
AT1G71400	1
AT2G34810	1
AT3G01290	1
AT2G17500	1
AT1G73330	1
AT3G12770	1
AT1G24070	1
AT4G39670	1
AT1G67810	1
AT1G19050	1
AT5G06860	1
AT4G13920	1
AT4G34600	1
AT3G47960	1
AT1G69930	1
AT2G39350	1
AT3G11840	1
AT5G51070	1
AT2G14560	1
AT2G27830	1
AT3G16470	1
AT1G65970	1
AT4G11320	1
AT1G03820	1
AT2G42540	1
AT2G39210	1
AT3G12580	1
AT4G12400	1
AT4G39030	1
AT1G57630	1
AT5G62920	1
AT1G73500	1
AT3G54150	1
AT1G34420	1
AT1G23850	1
AT5G54610	1
AT4G38080	1
AT1G72900	1
AT1G62500	1
AT3G02550	1
AT1G76930	1
AT3G09410	1
AT3G15300	1
AT1G02450	1
AT5G07700	1
AT3G05360	1
AT1G29270	1
AT4G12080	1
AT3G52450	1
AT5G62520	1
AT5G11410	1
AT3G47780	1
AT2G41640	1
AT5G44620	1
AT1G75390	1
AT2G22470	1
AT1G72070	1
AT2G35930	1
AT1G21250	1
AT3G49160	1
AT1G78000	1
AT1G72520	1
AT1G62540	1
AT4G36670	1
AT1G15790	1
AT4G17500	1
AT1G80820	1
AT5G43350	1
AT3G01350	1
AT5G57220	1
AT5G24210	1
AT1G76650	1
AT2G38470	1
AT1G17020	1
AT5G46590	1
AT1G10340	1
AT5G63600	1
AT5G46230	1
AT4G27410	1
AT1G20160	1
AT2G30040	1
AT1G80130	1
AT2G01520	1
AT2G44790	1
AT4G11650	1
AT5G10300	1
AT2G18370	1
AT1G78780	1
AT1G02800	1
AT1G35710	1
AT1G14730	1
AT5G66170	1
AT4G15390	1
AT5G63450	1
AT5G17330	1
AT5G37990	1
AT4G24040	1
AT5G24290	1
AT1G14240	1
AT1G09500	1
AT5G64100	1
AT4G22470	1
AT5G46350	1
AT3G22910	1
AT5G55930	1
AT1G10770	1
AT2G36380	1
AT4G01700	1
AT3G49620	1
AT3G08720	1
AT5G20230	1
AT4G12470	1
AT5G60900	1
AT4G21410	1
AT3G47380	1
AT1G15670	1
AT4G14060	1
AT5G07100	1
AT3G02140	1
AT3G04070	1
AT2G23150	1
AT3G29035	1
AT1G16370	1
AT2G37760	1
AT2G34500	1
AT4G37530	1
AT3G23550	1
AT3G27170	1
AT5G51440	1
AT5G04340	1
AT3G50930	1
AT5G50760	1
AT5G18470	1
AT5G37300	1
AT1G09970	1
ATMG01180	1
AT2G39700	1
AT1G33560	1
AT4G12490	1
AT1G06160	1
AT2G46940	1
AT1G05300	1
AT1G15580	1
AT4G16260	1
AT5G14180	1
AT2G23030	1
AT3G46660	1
AT5G17860	1
AT5G59090	1
AT2G30140	1
AT1G15380	1
AT3G57520	1
AT1G53780	0
AT5G06500	0
AT1G76370	0
AT3G42880	0
AT4G10310	0
AT2G11690	0
AT4G08970	0
AT3G51690	0
AT4G29180	0
AT3G42220	0
AT1G10840	0
AT5G47380	0
AT5G20920	0
AT2G19410	0
AT3G42440	0
AT4G08090	0
AT5G16460	0
AT3G44210	0
AT1G42220	0
AT1G14340	0
AT2G28640	0
AT2G28690	0
AT5G51760	0
AT5G18680	0
AT1G75840	0
AT2G15420	0
AT5G26190	0
AT2G02700	0
AT3G05720	0
AT3G05780	0
AT5G03300	0
AT4G08620	0
AT4G01370	0
AT2G31570	0
AT3G45320	0
AT1G07300	0
AT1G16950	0
AT5G64840	0
AT2G01300	0
AT3G54200	0
AT5G10120	0
AT1G74820	0
AT4G07430	0
AT2G18710	0
AT5G26880	0
AT2G41470	0
AT3G46750	0
ATCG00550	0
AT5G40940	0
AT1G05290	0
AT3G14270	0
AT3G50350	0
AT2G15260	0
AT3G60730	0
AT3G16260	0
AT1G31020	0
AT4G19280	0
AT4G36970	0
AT2G03170	0
AT1G55670	0
AT3G30510	0
AT1G21240	0
AT2G13940	0
AT2G11940	0
AT2G02170	0
AT2G01910	0
AT4G27800	0
AT3G32270	0
AT3G44350	0
AT3G03230	0
AT5G53520	0
AT3G29787	0
AT1G64440	0
AT5G38420	0
AT1G55220	0
AT2G41930	0
AT2G41400	0
AT5G61920	0
AT5G07380	0
AT5G07330	0
AT5G48810	0
AT3G46240	0
AT3G56040	0
AT3G58450	0
AT2G33010	0
AT1G21860	0
AT3G27410	0
AT4G25430	0
AT5G09700	0
AT3G45870	0
AT4G26730	0
AT4G09110	0
AT3G53920	0
AT1G56360	0
AT2G26850	0
AT1G23200	0
AT1G26110	0
AT5G62320	0
AT1G17510	0
AT1G21980	0
AT1G16440	0
AT1G72270	0
AT5G57520	0
AT1G43130	0
AT5G17260	0
AT1G08680	0
AT3G13280	0
AT5G25430	0
AT2G33270	0
AT2G21990	0
AT1G23340	0
AT1G62490	0
AT1G32160	0
AT5G25615	0
AT4G14080	0
AT2G19760	0
AT5G50840	0
AT1G01700	0
AT1G33000	0
AT3G49500	0
AT5G58782	0
AT1G25210	0
AT1G07690	0
AT5G23250	0
AT1G75790	0
AT3G52830	0
AT3G26520	0
AT4G05600	0
AT1G03000	0
AT3G07180	0
AT5G24070	0
AT5G44785	0
AT4G15590	0
AT5G04320	0
AT5G28060	0
AT3G11170	0
AT1G05590	0
AT5G04970	0
AT4G36590	0
AT3G20880	0
AT5G20390	0
AT4G16447	0
AT1G17260	0
AT5G25520	0
AT5G59640	0
AT3G08490	0
AT5G35220	0
AT2G44240	0
AT4G37040	0
AT1G51900	0
AT1G20970	0
AT4G23290	0
AT2G27450	0
AT1G28170	0
AT1G32250	0
AT3G18820	0
AT5G07900	0
AT4G21190	0
AT1G05800	0
AT3G10160	0
AT3G12380	0
AT2G34370	0
AT1G36510	0
AT1G69100	0
AT1G49670	0
AT1G67350	0
AT1G71350	0
AT1G49290	0
AT5G45940	0
AT1G12610	0
AT4G10780	0
AT1G36756	0
AT5G52070	0
AT5G42320	0
AT1G52940	0
AT4G09300	0
AT5G22600	0
AT1G21830	0
AT5G50590	0
AT2G30290	0
AT3G02350	0
AT3G05210	0
AT3G07070	0
AT3G02970	0
AT4G38410	0
AT2G42940	0
AT5G01370	0
AT5G46750	0
AT2G05050	0
AT2G42660	0
AT2G23640	0
AT3G51590	0
AT3G59170	0
AT1G10700	0
AT3G18900	0
AT2G26720	0
AT2G42140	0
AT4G27190	0
AT1G31420	0
AT5G15280	0
AT3G23770	0
AT1G09060	0
AT2G27160	0
AT2G21780	0
AT1G69180	0
AT1G52970	0
AT3G24250	0
AT2G19480	0
AT1G35880	0
AT1G50170	0
AT1G50720	0
AT5G35240	0
AT1G64940	0
AT5G54400	0
AT5G19710	0
AT2G46980	0
AT1G08970	0
AT1G06750	0
AT4G18790	0
AT5G23650	0
AT1G04330	0
AT2G37730	0
AT3G09510	0
AT1G67855	0
AT5G61050	0
AT3G15430	0
AT2G31200	0
AT4G16330	0
AT1G58889	0
AT4G04640	0
AT5G16570	0
AT4G16590	0
AT4G38870	0
AT5G64816	0
AT5G03360	0
AT1G24110	0
AT3G04800	0
AT3G24220	0
AT4G12340	0
AT1G73030	0
AT1G11370	0
AT3G28680	0
AT3G61110	0
AT5G15400	0
AT1G54510	0
AT4G08020	0
AT3G01530	0
AT5G06070	0
AT1G70160	0
AT1G20340	0
AT4G04270	0
AT1G10620	0
AT3G60800	0
AT3G32110	0
AT4G12180	0
AT2G25310	0
AT1G52730	0
AT2G37440	0
AT1G63800	0
AT2G02515	0
AT4G33750	0
AT4G05270	0
AT1G79250	0
AT4G05160	0
AT3G17250	0
AT4G22110	0
AT3G52080	0
AT4G16820	0
AT1G78840	0
AT4G04710	0
AT5G37380	0
AT1G09250	0
AT1G33830	0
AT2G06330	0
AT5G58870	0
AT3G60820	0
AT2G02720	0
AT2G42000	0
AT3G53020	0
AT4G16170	0
AT1G68460	0
AT1G05510	0
AT1G10890	0
AT3G23820	0
AT4G23150	0
AT4G12960	0
AT3G18570	0
AT3G55830	0
AT2G37000	0
AT5G05370	0
AT5G43520	0
AT4G11870	0
AT1G70200	0
AT4G10210	0
ATCG00740	0
AT3G45670	0
AT5G04790	0
AT2G24460	0
AT5G01410	0
AT2G15540	0
AT1G24510	0
AT2G37585	0
AT1G44740	0
AT3G14100	0
AT4G10845	0
AT1G61080	0
AT2G21110	0
AT2G24450	0
AT3G57620	0
AT3G20770	0
AT5G54570	0
AT5G66220	0
AT3G54540	0
AT5G01110	0
AT1G14640	0
AT3G09210	0
AT3G20690	0
AT3G09500	0
AT2G43270	0
AT1G48440	0
AT1G01900	0
AT5G26250	0
AT5G27930	0
AT4G02900	0
AT5G20310	0
AT1G60220	0
AT2G45790	0
AT4G33500	0
AT1G35570	0
AT3G15910	0
AT4G36650	0
AT1G07340	0
AT5G42240	0
AT5G05290	0
AT3G54800	0
AT3G28830	0
AT3G25810	0
AT4G35335	0
AT4G26820	0
AT1G64140	0
AT2G39020	0
AT1G18410	0
AT2G47420	0
AT1G07530	0
AT2G33800	0
AT3G17520	0
AT1G34130	0
AT1G51960	0
AT5G45690	0
AT2G14540	0
AT3G08650	0
AT3G51990	0
AT4G27840	0
AT2G34740	0
AT2G04770	0
AT1G65550	0
AT4G03630	0
AT1G19650	0
AT1G12130	0
AT3G60565	0
AT1G16020	0
AT4G37230	0
AT4G15380	0
AT5G06700	0
AT2G20540	0
AT5G59930	0
AT1G33460	0
AT4G30550	0
AT1G53210	0
AT3G19310	0
AT3G48120	0
AT4G17060	0
AT1G67080	0
AT2G44100	0
AT1G25390	0
AT5G47320	0
AT5G49230	0
AT1G72110	0
AT1G77980	0
AT5G28860	0
AT1G18540	0
AT1G54580	0
AT5G52490	0
ATMG00550	0
AT4G22560	0
AT1G06010	0
ATCG00130	0
AT1G32670	0
AT2G35670	0
AT1G27610	0
AT5G45350	0
AT3G61170	0
AT5G61130	0
AT3G11600	0
AT1G69430	0
AT2G47200	0
ATCG01050	0
AT1G73990	0
AT4G05180	0
AT3G01660	0
AT1G78440	0
AT5G58360	0
AT1G49520	0
AT5G44250	0
AT1G34720	0
AT3G60330	0
AT3G56700	0
AT4G10560	0
AT5G27080	0
AT1G04780	0
AT4G02960	0
AT5G65685	0
AT5G19960	0
AT2G04520	0
AT1G27950	0
AT5G27170	0
AT1G28430	0
AT3G52000	0
AT3G14030	0
AT2G47780	0
AT2G41440	0
AT3G07080	0
AT5G37880	0
AT5G11500	0
AT2G42100	0
AT3G08900	0
AT1G33130	0
AT2G25870	0
AT3G43660	0
AT4G29450	0
AT3G20270	0
AT5G03550	0
AT3G20040	0
AT2G34510	0
AT2G01580	0
AT1G31750	0
AT4G17570	0
AT1G71070	0
AT3G49830	0
AT3G60790	0
AT2G32350	0
AT3G61920	0
AT1G15930	0
AT2G45460	0
AT1G62970	0
AT2G19000	0
AT3G23490	0
AT3G22420	0
AT4G34040	0
AT2G41510	0
AT3G24360	0
AT5G07090	0
ATMG01350	0
AT4G22150	0
AT2G12520	0
AT4G25280	0
AT1G75930	0
AT2G38550	0
AT5G18990	0
AT1G07260	0
AT4G05510	0
AT5G06460	0
AT2G34540	0
AT1G06540	0
AT1G30800	0
AT1G18830	0
AT5G41770	0
AT5G13390	0
AT1G50940	0
AT4G17520	0
AT4G03240	0
AT3G45990	0
AT5G11090	0
AT5G54720	0
AT3G58390	0
AT5G22470	0
AT4G03330	0
AT4G33710	0
AT5G57400	0
AT1G28240	0
AT5G17340	0
AT3G09920	0
AT2G07630	0
AT4G02780	0
AT4G34930	0
AT5G38630	0
AT1G56330	0
AT3G20730	0
AT2G38710	0
AT1G32375	0
AT1G63520	0
AT3G27380	0
AT5G07890	0
AT1G18200	0
AT4G24950	0
AT5G37050	0
AT1G67040	0
AT4G11600	0
AT2G45980	0
AT2G12610	0
AT5G43220	0
AT3G48680	0
AT1G68610	0
AT1G78700	0
AT2G48080	0
AT4G25680	0
AT4G02670	0
AT4G26920	0
AT5G06540	0
AT5G38195	0
AT3G12530	0
AT4G32450	0
AT5G18190	0
AT3G42110	0
AT1G79590	0
AT4G19690	0
ATCG00470	0
AT2G11240	0
AT3G60270	0
AT4G03480	0
AT1G77130	0
AT5G13580	0
AT2G03830	0
AT5G27800	0
AT2G40060	0
AT3G46770	0
AT1G72540	0
AT3G61600	0
AT2G16880	0
AT1G48670	0
AT3G15170	0
AT5G55390	0
AT2G33980	0
AT4G16470	0
AT3G12910	0
AT5G64450	0
AT1G04170	0
AT1G28660	0
AT4G11700	0
AT5G04630	0
AT4G05140	0
AT1G07640	0
AT1G65990	0
AT2G07330	0
AT1G32010	0
AT5G11220	0
AT2G05720	0
AT4G09930	0
AT3G62450	0
AT2G35330	0
AT3G15605	0
AT4G08250	0
AT2G34430	0
AT2G25600	0
AT1G48370	0
AT2G18170	0
AT5G44290	0
AT4G00740	0
AT5G23580	0
AT2G43790	0
AT5G56920	0
AT5G08190	0
AT2G39580	0
AT2G18280	0
AT3G01320	0
AT1G22920	0
AT5G41890	0
AT1G75240	0
AT4G24650	0
AT4G10950	0
AT2G06700	0
AT5G61110	0
AT5G42340	0
AT3G02470	0
AT5G05430	0
AT3G05790	0
AT3G17060	0
AT5G05750	0
AT3G16050	0
AT5G57110	0
AT4G00350	0
AT3G05150	0
AT4G35230	0
AT4G14810	0
AT1G19250	0
AT4G10670	0
AT3G26614	0
AT5G51990	0
AT1G53100	0
AT4G35700	0
AT2G14020	0
AT3G50700	0
AT5G23410	0
AT4G14670	0
AT1G07850	0
AT2G12920	0
AT2G05890	0
AT5G54290	0
AT3G24900	0
AT2G04680	0
AT5G10290	0
AT5G62230	0
AT4G03156	0
AT5G15090	0
AT1G42200	0
AT1G48240	0
AT3G19080	0
AT1G31940	0
AT2G25230	0
AT3G46170	0
AT2G26050	0
AT3G21290	0
AT4G16640	0
AT1G09920	0
AT3G43150	0
AT2G28240	0
AT1G41870	0
AT1G53490	0
AT3G63480	0
AT5G35560	0
AT3G42710	0
AT4G30310	0
AT5G13670	0
AT1G61840	0
AT1G28550	0
AT4G29570	0
AT3G28050	0
AT4G17930	0
AT3G28140	0
AT3G63350	0
AT1G17980	0
AT3G04400	0
AT1G20220	0
AT3G09930	0
AT5G24000	0
AT5G05260	0
AT5G55260	0
AT2G45300	0
AT1G10170	0
AT2G17060	0
AT3G25630	0
AT3G32960	0
AT5G43340	0
AT2G15610	0
AT5G51050	0
AT5G37210	0
AT1G61330	0
AT3G16030	0
AT5G30480	0
AT5G46360	0
AT5G20990	0
AT4G08750	0
AT5G16290	0
AT3G25260	0
AT3G47070	0
AT5G67010	0
AT4G38560	0
AT4G00830	0
AT5G02140	0
AT5G62050	0
AT5G47390	0
AT2G36670	0
AT3G12900	0
AT5G10790	0
AT1G54330	0
AT5G48020	0
AT2G44120	0
AT4G34640	0
AT3G63250	0
AT1G76100	0
AT4G37880	0
AT3G44680	0
AT5G55420	0
AT3G54400	0
AT1G55310	0
AT3G27420	0
AT1G16980	0
AT1G35460	0
AT5G14860	0
AT5G11300	0
AT3G03720	0
AT5G02030	0
AT3G07820	0
AT1G33500	0
AT3G11150	0
AT5G41260	0
AT1G79400	0
AT5G44350	0
AT3G62710	0
AT2G36850	0
AT3G25420	0
AT2G28320	0
AT2G42060	0
AT3G54520	0
AT3G14530	0
AT1G65840	0
AT2G42860	0
AT3G26730	0
AT2G40090	0
AT1G19030	0
AT5G23060	0
AT1G22130	0
AT5G25110	0
AT1G66550	0
AT5G52140	0
AT1G19500	0
AT5G28470	0
AT3G50210	0
AT3G18780	0
AT4G25890	0
AT3G61140	0
AT5G47650	0
AT3G16610	0
AT4G35490	0
AT1G56280	0
AT3G07160	0
AT2G37790	0
AT3G14130	0
AT3G12320	0
AT5G39820	0
AT1G12850	0
AT5G16300	0
AT5G58280	0
AT1G75760	0
AT4G39870	0
AT3G54890	0
AT2G28490	0
AT1G13760	0
AT3G30740	0
AT5G35870	0
AT2G13070	0
AT3G27290	0
AT4G22100	0
AT1G67540	0
AT4G09640	0
AT3G27320	0
AT4G10050	0
AT5G57670	0
AT5G57590	0
AT1G48640	0
AT1G20580	0
AT2G44520	0
AT1G27080	0
AT5G05390	0
AT4G01460	0
AT5G23030	0
AT2G20860	0
AT1G67100	0
AT5G55980	0
AT1G13090	0
AT1G04625	0
AT3G51310	0
AT5G01390	0
AT1G61790	0
AT1G63540	0
AT2G20460	0
AT5G47890	0
AT4G03830	0
AT4G23610	0
AT5G45600	0
AT3G04660	0
AT3G19160	0
AT1G03050	0
AT2G40580	0
AT4G36530	0
AT2G07692	0
AT1G68750	0
AT1G04830	0
AT5G53850	0
AT1G65850	0
AT3G01240	0
AT5G05500	0
AT2G33870	0
AT5G60170	0
AT4G29350	0
AT2G34530	0
AT5G28340	0
AT3G53770	0
AT3G55720	0
AT5G07070	0
AT1G57540	0
AT1G55050	0
AT2G21480	0
AT1G54550	0
AT3G07650	0
AT3G42600	0
AT2G36130	0
AT3G52730	0
AT3G55400	0
AT2G34210	0
AT1G30460	0
AT2G32760	0
AT3G24570	0
AT2G31250	0
AT1G13110	0
AT5G48150	0
AT5G18070	0
AT1G10810	0
AT5G41340	0
AT4G02450	0
AT3G12420	0
AT1G61190	0
AT1G70570	0
AT1G48730	0
AT5G18640	0
ATCG00070	0
AT2G07683	0
AT1G11910	0
AT4G17080	0
AT4G10020	0
AT1G04510	0
AT5G66820	0
AT3G11900	0
AT5G52920	0
AT5G11630	0
AT4G04120	0
AT4G11610	0
AT5G16800	0
AT5G49120	0
AT3G44270	0
AT5G01350	0
AT1G06310	0
AT4G04870	0
AT3G29080	0
AT1G06870	0
AT1G49240	0
AT2G07715	0
AT3G05160	0
AT3G28790	0
AT2G40410	0
AT2G22430	0
AT1G71090	0
AT1G26550	0
AT5G53160	0
AT3G21360	0
AT3G23920	0
AT4G01330	0
AT1G63910	0
AT1G05150	0
AT1G66890	0
AT1G30473	0
AT1G74620	0
AT2G25760	0
AT3G19540	0
AT2G21660	0
AT2G10630	0
AT5G55610	0
AT5G38380	0
AT3G03510	0
AT4G38120	0
AT1G43190	0
AT3G04920	0
AT3G55440	0
AT1G78130	0
AT1G22420	0
AT3G17210	0
AT4G17940	0
AT3G27120	0
AT3G61740	0
AT5G43960	0
AT5G66815	0
AT1G53500	0
AT5G63540	0
AT1G55700	0
AT5G39060	0
AT3G52660	0
AT4G29980	0
AT5G64400	0
AT3G47140	0
AT1G21300	0
AT2G24210	0
AT4G38590	0
AT5G54850	0
AT1G25270	0
AT3G45780	0
AT4G18160	0
AT5G64813	0
AT4G11360	0
AT1G02813	0
AT4G17620	0
AT1G31370	0
AT1G11650	0
AT3G13550	0
AT1G05550	0
AT4G02490	0
AT1G53970	0
AT5G61090	0
AT4G28810	0
AT4G24060	0
AT2G05630	0
AT5G58200	0
AT3G22350	0
AT1G67760	0
AT3G50760	0
AT3G13662	0
AT5G57815	0
AT5G02310	0
AT1G61850	0
AT1G76150	0
AT5G21150	0
AT1G34500	0
AT5G18380	0
AT1G49630	0
AT5G14000	0
AT2G16640	0
AT5G65130	0
AT5G63060	0
AT5G45760	0
AT4G16140	0
AT5G19620	0
AT5G64030	0
AT5G33380	0
AT2G05620	0
AT3G29150	0
AT1G20920	0
AT3G62760	0
AT2G01770	0
AT2G30930	0
AT3G07470	0
AT3G20030	0
AT3G51010	0
AT3G25990	0
AT2G07230	0
AT1G03280	0
AT1G24540	0
AT1G73820	0
AT4G04460	0
AT3G18210	0
AT5G02920	0
AT3G14340	0
AT1G11360	0
AT5G26840	0
AT3G51100	0
AT5G13090	0
AT1G80550	0
AT5G11560	0
AT1G19770	0
AT1G54130	0
AT5G24313	0
AT4G14180	0
AT3G03400	0
AT5G20860	0
AT1G74120	0
AT4G22190	0
AT2G34400	0
AT1G74110	0
AT4G39180	0
AT3G15280	0
AT5G13480	0
AT4G27210	0
AT1G05577	0
AT4G16090	0
AT1G75430	0
AT1G74260	0
AT4G23496	0
AT1G07440	0
AT2G30710	0
AT3G42580	0
AT2G35050	0
AT4G21300	0
AT4G14720	0
AT5G38520	0
AT5G42030	0
AT5G35090	0
AT2G24000	0
AT4G38180	0
AT2G44880	0
AT1G28375	0
AT1G09170	0
AT5G01680	0
AT2G43850	0
AT5G28090	0
AT5G29210	0
AT2G16810	0
AT1G77710	0
AT3G21610	0
AT1G33050	0
AT2G37940	0
ATCG00220	0
AT2G14550	0
AT4G32250	0
AT2G07760	0
AT5G25100	0
AT3G16680	0
AT1G49900	0
AT1G66260	0
AT1G22970	0
AT3G56380	0
AT2G27760	0
AT1G51950	0
AT3G30240	0
ATCG00800	0
AT3G48110	0
AT2G18670	0
AT5G65630	0
AT2G18160	0
AT1G35040	0
AT4G24680	0
AT3G22340	0
AT1G29340	0
AT1G71450	0
AT5G40230	0
AT3G04770	0
AT5G02870	0
AT5G14530	0
AT4G36105	0
AT1G32730	0
AT5G34880	0
AT1G69960	0
AT1G70130	0
AT3G49910	0
AT3G21780	0
AT1G78800	0
AT5G42820	0
AT3G08690	0
AT3G01150	0
AT5G52280	0
ATMG00200	0
AT5G44730	0
AT2G02470	0
AT2G23920	0
AT3G62690	0
AT1G67780	0
AT5G08250	0
AT1G03710	0
AT3G47270	0
AT5G04010	0
AT1G54720	0
AT2G42390	0
AT5G11170	0
AT5G24550	0
AT1G21312	0
AT1G65270	0
AT1G50970	0
AT4G32840	0
AT2G05830	0
AT4G14350	0
AT3G32060	0
AT5G45082	0
AT5G03070	0
AT1G05960	0
AT2G02250	0
AT5G65910	0
AT1G05370	0
AT1G66070	0
AT3G15870	0
AT1G09940	0
AT3G17620	0
AT1G47540	0
AT5G28140	0
AT2G07455	0
AT5G14340	0
AT4G04080	0
AT5G17600	0
AT3G09090	0
AT3G33080	0
AT1G55490	0
AT5G56020	0
AT4G10060	0
AT1G67880	0
AT5G47350	0
AT1G54390	0
AT5G61760	0
AT1G77350	0
AT1G01650	0
AT1G50850	0
AT4G13320	0
AT2G06510	0
AT1G27930	0
AT1G71680	0
AT2G45820	0
AT4G25434	0
AT3G09060	0
AT2G05840	0
AT3G62770	0
AT3G60410	0
AT1G24290	0
AT1G42460	0
AT3G61150	0
AT3G29350	0
AT1G64480	0
AT5G56780	0
AT3G06090	0
AT4G16510	0
AT3G13830	0
AT3G28510	0
AT4G03660	0
AT3G57430	0
AT3G61260	0
AT4G22570	0
AT3G21480	0
AT1G33760	0
AT4G12350	0
AT5G10330	0
AT1G14750	0
AT5G54620	0
AT5G50930	0
AT3G09040	0
AT5G11030	0
AT4G25410	0
AT5G51480	0
AT2G47150	0
AT2G46260	0
AT1G68140	0
AT5G18870	0
AT4G23750	0
AT2G47670	0
AT4G01500	0
AT1G23270	0
