family	fam_size	comparison	mean	sd	95perc
C2H2	36	between	0.4293	0.1535	0.7000
C2H2	36	random	0.3780	0.1847	0.6800
bHLH	46	within	0.6922	0.1995	0.9700
bHLH	46	between	0.3635	0.1491	0.6300
bHLH	46	random	0.3626	0.1846	0.6500
ABI3VP1	7	within	0.5529	0.1514	0.7400
ABI3VP1	7	between	0.4377	0.1631	0.7200
ABI3VP1	7	random	0.3784	0.2026	0.7000
GeBP	5	within	0.3830	0.2931	0.9600
GeBP	5	between	0.3667	0.1860	0.6500
GeBP	5	random	0.3378	0.2051	0.6700
MYB	92	within	0.5140	0.1899	0.8900
MYB	92	between	0.4199	0.1389	0.6500
MYB	92	random	0.4066	0.1579	0.6800
C3H	8	within	0.5429	0.1470	0.7800
C3H	8	between	0.4525	0.1646	0.7400
C3H	8	random	0.3242	0.2040	0.6400
SRS	1	within	NaN	NaN	NaN
SRS	1	between	0.3858	0.1326	0.5900
SRS	1	random	0.4460	0.1486	0.7705
RAV	1	within	NaN	NaN	NaN
RAV	1	between	0.4611	0.1192	0.6700
RAV	1	random	0.4439	0.1529	0.7200
E2F-DP	5	within	0.7960	0.0971	1.0000
E2F-DP	5	between	0.4081	0.1522	0.6700
E2F-DP	5	random	0.4082	0.1756	0.7400
FAR1	2	within	0.7400	0.0000	0.7400
FAR1	2	between	0.4037	0.1399	0.6700
FAR1	2	random	0.4298	0.1525	0.6905
Orphan	3	within	0.4400	0.1008	0.5700
Orphan	3	between	0.4268	0.1813	0.7445
Orphan	3	random	0.4257	0.1629	0.7400
ARF	3	within	0.6900	0.1640	0.8900
ARF	3	between	0.4605	0.1392	0.7300
ARF	3	random	0.4321	0.1571	0.7300
B3	5	within	0.6760	0.2658	1.0000
B3	5	between	0.3652	0.1369	0.6155
B3	5	random	0.3363	0.1585	0.5700
MYB-related	26	within	0.6625	0.2030	0.9900
MYB-related	26	between	0.4214	0.1656	0.6800
MYB-related	26	random	0.4076	0.1804	0.7300
DBP	1	within	NaN	NaN	NaN
DBP	1	between	0.4308	0.1297	0.6700
DBP	1	random	0.4500	0.1324	0.6800
C2C2-YABBY	1	within	NaN	NaN	NaN
C2C2-YABBY	1	between	0.4020	0.1778	0.6875
C2C2-YABBY	1	random	0.2913	0.1851	0.5500
